,world_x,world_y,eye_x,eye_y,eye_w,eye_h,pipil_x,pupil_y,pupil_w,pupil_h
163,268,342,136,194,373,172,311,211,165,133
164,408,288,108,165,372,172,161,178,166,133
165,458,303,108,194,372,172,128,211,166,133
166,338,256,136,165,373,172,261,145,166,132
167,319,333,136,194,373,172,254,194,199,159
168,339,254,136,136,373,172,214,134,199,159
169,337,312,108,165,372,172,234,154,199,159
170,317,330,136,194,373,172,234,194,199,159
171,423,277,108,165,372,172,134,174,199,159
172,313,296,136,136,373,172,254,134,199,159
173,387,370,136,251,373,172,194,261,166,133
174,418,294,108,165,372,172,154,174,199,159
175,446,291,108,165,372,172,145,194,166,133
176,342,304,136,194,373,172,214,174,199,159
177,417,316,108,194,372,172,161,211,166,133
178,317,326,136,165,373,172,254,154,199,159
179,371,346,136,222,373,172,194,214,199,159
180,419,344,108,222,372,172,145,228,166,132
181,423,272,108,165,372,172,134,154,199,159
182,367,337,108,194,372,172,194,214,199,159
183,295,327,136,194,373,172,273,194,200,159
184,382,255,108,136,372,172,174,134,199,159
185,491,298,108,194,372,172,128,211,166,133
186,374,293,108,165,372,172,174,174,199,159
187,255,355,108,165,372,172,174,174,199,159
188,263,317,136,194,373,172,311,194,165,133
189,368,361,136,222,373,172,194,234,199,159
190,262,301,136,165,373,172,293,154,199,159
191,343,277,136,165,373,172,214,154,199,159
192,344,286,108,165,372,172,214,154,199,159
193,319,341,185,209,311,143,254,194,199,159
194,346,300,137,161,311,144,214,134,199,159
195,356,273,108,165,372,172,194,154,199,159
196,325,312,136,194,373,172,233,161,239,191
197,257,370,136,194,373,172,311,244,165,133
198,280,299,136,136,373,172,293,154,199,159
199,326,328,136,194,373,172,234,174,199,159
200,352,267,137,161,311,144,194,154,199,159
201,335,319,108,165,372,172,234,154,199,159
202,284,372,136,222,373,172,273,234,200,159
203,357,325,108,165,372,172,203,176,139,110
204,328,313,161,161,311,144,234,134,199,159
205,317,271,108,136,372,172,254,134,199,159
206,249,303,136,194,373,172,313,194,199,159
207,393,336,136,194,373,172,174,214,199,159
208,235,294,136,165,373,172,344,178,166,133
209,213,324,136,194,373,172,360,211,166,133
210,399,346,108,222,372,172,161,228,166,132
211,259,308,136,165,373,172,313,174,199,159
212,427,326,108,194,372,172,161,211,166,133
213,470,305,108,194,372,172,128,211,166,133
214,312,284,136,136,373,172,254,134,199,159
215,406,304,108,194,372,172,154,194,199,159
216,410,287,108,165,372,172,134,174,199,159
217,353,274,108,136,372,172,194,134,199,159
